C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,MES,AÑO,CL_0,CL_5,CL_10,CL_20,CL_30,CL_40,CL_50,CL_75,CL_100
10,L19N2,1,CRUCERO 10,2007/02/05,FEBRERO,2007,,,1.927692308,1.316363636,,,,,
10,L20,1,CRUCERO 10,2007/02/05,FEBRERO,2007,,,1.194,2.029090909,,,,,
10,L21,1,CRUCERO 10,2007/02/08,FEBRERO,2007,,,0.7425,0.97,,,,,
10,L21N1,1,CRUCERO 10,2007/02/08,FEBRERO,2007,,,1.0875,1.155,,,,,
10,L22,1,CRUCERO 10,2007/02/08,FEBRERO,2007,,,1.367142857,3.401,,,,,
10,L23,1,CRUCERO 10,2007/02/07,FEBRERO,2007,,,0.891666667,0.855714286,,,,,
10,L24,1,CRUCERO 10,2007/02/07,FEBRERO,2007,,,2.24,2.1175,,,,,
10,L25,1,CRUCERO 10,2007/02/08,FEBRERO,2007,,,6.060769231,2.924,,,,,
12,M01N,1,CRUCERO 10,2007/02/14,FEBRERO,2007,,,1.2,1.22,,,,,
12,M02N,1,CRUCERO 10,2007/02/14,FEBRERO,2007,,,0.45,1.33,,,,,
12,M03N,1,CRUCERO 10,2007/02/14,FEBRERO,2007,,,0.36,0.65,,,,,
12,M04,1,CRUCERO 10,2007/02/13,FEBRERO,2007,,,0.66,0.65,,,,,
12,M05,1,CRUCERO 10,2007/02/13,FEBRERO,2007,,,0.54,0.51,,,,,
12,M06,1,CRUCERO 10,2007/02/12,FEBRERO,2007,,,0.54,0.47,,,,,
12,M07,1,CRUCERO 10,2007/02/12,FEBRERO,2007,,,0.54,0.51,,,,,
12,M08,1,CRUCERO 10,2007/02/11,FEBRERO,2007,,,0.87,0.35,,,,,
12,M09,1,CRUCERO 10,2007/02/11,FEBRERO,2007,,,1.22,1.1,,,,,
12,M10,1,CRUCERO 10,2007/02/11,FEBRERO,2007,,,1.24,1.23,,,,,
12,M11,1,CRUCERO 10,2007/02/11,FEBRERO,2007,,,0.95,0.84,,,,,
12,M12,1,CRUCERO 10,2007/02/11,FEBRERO,2007,,,0.98,0.87,,,,,
12,M13,1,CRUCERO 10,2007/02/10,FEBRERO,2007,,,0.85,0.54,,,,,
12,M14,1,CRUCERO 10,2007/02/10,FEBRERO,2007,,,0.65,0.5,,,,,
12,M15,1,CRUCERO 10,2007/02/10,FEBRERO,2007,,,0.69,0.5,,,,,
12,M16,1,CRUCERO 10,2007/02/10,FEBRERO,2007,,,0.84,0.54,,,,,
12,M17,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,0.68,0.68,,,,,
12,M18,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,0.33,0.44,,,,,
12,M19,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,0.41,0.47,,,,,
12,M20,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,0.84,0.77,,,,,
12,M21,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,0.87,0.92,,,,,
12,M22,1,CRUCERO 10,2007/02/15,FEBRERO,2007,,,1.64,1.22,,,,,
12,M23,1,CRUCERO 10,2007/02/16,FEBRERO,2007,,,1.84,1.23,,,,,
12,M24,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,1.055,0.625,,,,,
12,M24N,1,CRUCERO 10,2007/02/13,FEBRERO,2007,,,0.58,0.84,,,,,
12,M25,1,CRUCERO 10,2007/02/22,FEBRERO,2007,,,0.556,0.942,,,,,
12,M25N,1,CRUCERO 10,2007/02/11,FEBRERO,2007,,,0.84,0.51,,,,,
12,M26,1,CRUCERO 10,2007/02/22,FEBRERO,2007,,,0.764,0.737,,,,,
12,M27,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,0.513,0.572,,,,,
12,M28,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,0.543,0.453,,,,,
12,M29,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,0.265,0.339,,,,,
12,M30,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,0.343,0.262,,,,,
12,M31,1,CRUCERO 10,2007/02/21,FEBRERO,2007,,,0.285,0.292,,,,,
12,M32,1,CRUCERO 10,2007/02/22,FEBRERO,2007,,,0.377,0.428,,,,,
