C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,AÑO,MES,DIRECCION,V_MS
11,A28,1,CRUCERO 10,2007/02/24,2007,FEBRERO,N,1.35
11,A29,1,CRUCERO 10,2007/02/23,2007,FEBRERO,N,4.92
11,A30,1,CRUCERO 10,2007/02/21,2007,FEBRERO,O,4.53
11,A31,1,CRUCERO 10,2007/02/25,2007,FEBRERO,SO,3.35
11,A32,1,CRUCERO 10,2007/02/25,2007,FEBRERO,SO,3.54
11,A33,1,CRUCERO 10,2007/02/15,2007,FEBRERO,NO,0.98
11,A34,1,CRUCERO 10,2007/02/28,2007,FEBRERO,NO,1.87
11,A35,1,CRUCERO 10,2007/02/14,2007,FEBRERO,N,0.83
11,A36,1,CRUCERO 10,2007/02/14,2007,FEBRERO,N,3.99
11,A37,1,CRUCERO 10,2007/02/14,2007,FEBRERO,NO,2.91
11,A38,1,CRUCERO 10,2007/02/14,2007,FEBRERO,O,1.93
11,A39,1,CRUCERO 10,2007/02/13,2007,FEBRERO,N,1.99
11,A40,1,CRUCERO 10,2007/02/13,2007,FEBRERO,N,1.98
11,A41,1,CRUCERO 10,2007/02/14,2007,FEBRERO,NO,1.42
11,A42,1,CRUCERO 10,2007/02/26,2007,FEBRERO,N,3.11
11,A43,1,CRUCERO 10,2007/02/25,2007,FEBRERO,O,5.15
11,A44,1,CRUCERO 10,2007/02/25,2007,FEBRERO,SO,5.27
11,A45,1,CRUCERO 10,2007/02/26,2007,FEBRERO,N,1.47
11,A46,1,CRUCERO 10,2007/02/26,2007,FEBRERO,N,1.46
11,A47,1,CRUCERO 10,2007/02/25,2007,FEBRERO,SO,3.3
11,A48,1,CRUCERO 10,2007/02/25,2007,FEBRERO,SO,3.65
11,A49,1,CRUCERO 10,2007/02/25,2007,FEBRERO,O,3.03
11,A50,1,CRUCERO 10,2007/02/23,2007,FEBRERO,N,3.12
11,A51,1,CRUCERO 10,2007/02/25,2007,FEBRERO,N,0.43
11,A52,1,CRUCERO 10,2007/02/23,2007,FEBRERO,N,8.71
