C_REGION,ESTACIONID,PROGRAMA,CRUCERO,FCH_CRUC,AÑO,MES,RECURSO,VDM,COD_VDM
10,L06N1,1,CRUCERO 10,2012/05/05,2012,MAYO,Cholga,-,NEGATIVO
10,L07,1,CRUCERO 10,2012/04/26,2012,ABRIL,Cholga,+ (7),POSITIVO
10,L08,1,CRUCERO 10,2012/04/26,2012,ABRIL,Cholga,-,NEGATIVO
10,L09,1,CRUCERO 10,2012/04/26,2012,ABRIL,Almeja,+ (8),POSITIVO
10,L10,1,CRUCERO 10,2012/04/27,2012,ABRIL,Cholga,+,POSITIVO
10,L10N2,1,CRUCERO 10,2012/04/27,2012,ABRIL,Almeja,-,NEGATIVO
10,L10N3,1,CRUCERO 10,2012/04/27,2012,ABRIL,Almeja,-,NEGATIVO
10,L11,1,CRUCERO 10,2012/04/26,2012,ABRIL,Chorito,-,NEGATIVO
10,L12,1,CRUCERO 10,2012/04/28,2012,ABRIL,Almeja,-,NEGATIVO
10,L13,1,CRUCERO 10,2012/04/27,2012,ABRIL,Almeja,-,NEGATIVO
10,L14,1,CRUCERO 10,2012/04/27,2012,ABRIL,Almeja,-,NEGATIVO
10,L16,1,CRUCERO 10,2012/04/24,2012,ABRIL,Almeja,-,NEGATIVO
10,L16N1,1,CRUCERO 10,2012/04/24,2012,ABRIL,Almeja,-,NEGATIVO
10,L17,1,CRUCERO 10,2012/04/24,2012,ABRIL,Cholga,-,NEGATIVO
10,L17N1,1,CRUCERO 10,2012/04/24,2012,ABRIL,Cholga,-,NEGATIVO
10,L19,1,CRUCERO 10,2012/04/21,2012,ABRIL,Almeja,-,NEGATIVO
10,L19N1,1,CRUCERO 10,2012/04/21,2012,ABRIL,Almeja,-,NEGATIVO
10,L19N2,1,CRUCERO 10,2012/04/21,2012,ABRIL,Chorito,-,NEGATIVO
10,L20,1,CRUCERO 10,2012/04/21,2012,ABRIL,Almeja,-,NEGATIVO
10,L20N1,1,CRUCERO 10,2012/04/21,2012,ABRIL,Almeja,-,NEGATIVO
10,L22,1,CRUCERO 10,2012/04/22,2012,ABRIL,Almeja,-,NEGATIVO
10,L22N1,1,CRUCERO 10,2012/04/22,2012,ABRIL,Almeja,-,NEGATIVO
10,L22N2,1,CRUCERO 10,2012/04/22,2012,ABRIL,Almeja,-,NEGATIVO
10,L22N3,1,CRUCERO 10,2012/04/22,2012,ABRIL,Almeja,-,NEGATIVO
10,L23,1,CRUCERO 10,2012/04/21,2012,ABRIL,Almeja,-,NEGATIVO
10,L23N1,1,CRUCERO 10,2012/04/22,2012,ABRIL,Almeja,-,NEGATIVO
10,L23N2,1,CRUCERO 10,2012/04/21,2012,ABRIL,Almeja,-,NEGATIVO
10,L24,1,CRUCERO 10,2012/04/22,2012,ABRIL,Almeja,-,NEGATIVO
10,L24N1,1,CRUCERO 10,2012/04/22,2012,ABRIL,Almeja,-,NEGATIVO
10,L25,1,CRUCERO 10,2012/04/23,2012,ABRIL,Almeja,-,NEGATIVO
11,A01,1,CRUCERO 10,2012/04/20,2012,ABRIL,Almeja,-,NEGATIVO
11,A02,1,CRUCERO 10,2012/04/20,2012,ABRIL,Cholga,-,NEGATIVO
11,A03,1,CRUCERO 10,2012/04/22,2012,ABRIL,Almeja,-,NEGATIVO
11,A03N1,1,CRUCERO 10,2012/04/22,2012,ABRIL,Sin Recurso,#N/A,#N/A
11,A04,1,CRUCERO 10,2012/04/23,2012,ABRIL,Cholga,-,NEGATIVO
11,A04N1,1,CRUCERO 10,2012/04/24,2012,ABRIL,Sin Recurso,#N/A,#N/A
