C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,ANNO,MES,ARALEXCATE,ARALEXOSTE,ARALEXTAMA,ARDINOACUM,ARDINOACUT,ARPROTRETI,ARPSEUAUST,ARPSEUPSEU
12,M20,1,CRUCERO 1,2006-05-13,2006,MAYO,0,0,,0,0,0,0,0
12,M21,1,CRUCERO 1,2006-05-13,2006,MAYO,0,0,,0,0,0,0,0
12,M22,1,CRUCERO 1,2006-05-13,2006,MAYO,0,0,,0,0,0,0,0
12,M23,1,CRUCERO 1,2006-05-13,2006,MAYO,0,0,,0,0,0,0,0
12,M24,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,0,0,0,0,0
12,M25,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,0,0,0,0,0
12,M26,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,0,0,0,0,0
12,M27,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,0,0,0,0,0
12,M28,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,0,0,0,0,0
12,M29,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,0,0,0,0,0
12,M30,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,0,0,0,0,0
12,M31,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,0,0,0,0,0
12,M32,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,0,0,0,0,0
12,M33,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,0,0,0,0,0
12,M34,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,0,0,0,0,0
12,M35,1,CRUCERO 1,2006-05-05,2006,MAYO,0,0,,0,0,0,0,0
12,M36,1,CRUCERO 1,2006-05-12,2006,MAYO,0,0,,0,0,0,0,0
12,M37,1,CRUCERO 1,2006-05-12,2006,MAYO,0,0,,0,0,0,0,0
12,M38,1,CRUCERO 1,2006-05-12,2006,MAYO,0,0,,0,0,0,0,0
12,M39,1,CRUCERO 1,2006-05-12,2006,MAYO,0,0,,0,0,0,0,0
12,M40,1,CRUCERO 1,2006-05-24,2006,MAYO,0,0,,0,0,0,0,0
12,M41,1,CRUCERO 1,2006-05-24,2006,MAYO,0,0,,0,0,0,0,0
12,M42,1,CRUCERO 1,2006-05-25,2006,MAYO,0,0,,0,0,0,0,0
12,M43,1,CRUCERO 1,2006-05-25,2006,MAYO,0,0,,0,0,0,0,0
12,M44,1,CRUCERO 1,2006-05-25,2006,MAYO,0,0,,0,0,0,0,0
12,M45,1,CRUCERO 1,2006-05-25,2006,MAYO,0,0,,0,0,0,0,0
12,M46,1,CRUCERO 1,2006-05-25,2006,MAYO,0,0,,0,0,0,0,0
10,L01,1,CRUCERO 1,2007-11-19,2007,NOVIEMBRE,0,0,,4,1,0,4,2
10,L02,1,CRUCERO 1,2007-11-23,2007,NOVIEMBRE,0,0,,3,2,0,2,2
10,L02N1,1,CRUCERO 1,2007-11-23,2007,NOVIEMBRE,0,0,,0,1,0,3,1
10,L02N2,1,CRUCERO 1,2007-11-23,2007,NOVIEMBRE,0,0,,3,0,0,4,0
10,L02N3,1,CRUCERO 1,2007-11-23,2007,NOVIEMBRE,0,0,,3,2,0,3,2
10,L02N4,1,CRUCERO 1,2007-11-23,2007,NOVIEMBRE,0,0,,3,2,0,4,0
10,L03,1,CRUCERO 1,2007-11-20,2007,NOVIEMBRE,0,0,,3,1,0,3,1
10,L03N1,1,CRUCERO 1,2007-11-23,2007,NOVIEMBRE,0,0,,3,1,0,3,0
10,L04,1,CRUCERO 1,2007-11-20,2007,NOVIEMBRE,0,0,,1,0,0,3,3
10,L05,1,CRUCERO 1,2007-11-21,2007,NOVIEMBRE,0,0,,0,0,0,3,1
10,L06,1,CRUCERO 1,2007-11-21,2007,NOVIEMBRE,0,0,,0,0,0,4,3
10,L06N1,1,CRUCERO 1,2007-11-20,2007,NOVIEMBRE,0,0,,4,1,0,3,0
10,L07,1,CRUCERO 1,2007-11-01,2007,NOVIEMBRE,0,0,,0,0,0,4,3
10,L08,1,CRUCERO 1,2007-11-01,2007,NOVIEMBRE,0,0,,0,0,0,5,3
10,L09,1,CRUCERO 1,2007-10-31,2007,OCTUBRE,0,0,,1,0,0,4,4
10,L10,1,CRUCERO 1,2007-10-31,2007,OCTUBRE,0,0,,2,1,0,4,4
10,L10N1,1,CRUCERO 1,2007-10-30,2007,OCTUBRE,0,0,,1,0,0,4,4
10,L10N2,1,CRUCERO 1,2007-10-30,2007,OCTUBRE,0,0,,1,0,0,4,3
10,L10N3,1,CRUCERO 1,2007-10-31,2007,OCTUBRE,0,0,,2,0,0,4,3
10,L11,1,CRUCERO 1,2007-10-30,2007,OCTUBRE,0,0,,0,0,0,5,3
10,L12,1,CRUCERO 1,2007-10-30,2007,OCTUBRE,0,0,,0,0,0,4,2
10,L13,1,CRUCERO 1,2007-10-30,2007,OCTUBRE,0,0,,1,0,0,4,3
10,L14,1,CRUCERO 1,2007-10-30,2007,OCTUBRE,0,0,,1,0,0,4,3
10,L16,1,CRUCERO 1,2007-11-12,2007,NOVIEMBRE,0,0,,0,2,0,4,3
10,L16N1,1,CRUCERO 1,2007-11-12,2007,NOVIEMBRE,0,0,,1,0,0,5,3
10,L17,1,CRUCERO 1,2007-11-14,2007,NOVIEMBRE,0,0,,0,0,0,4,3
10,L17N1,1,CRUCERO 1,2007-11-14,2007,NOVIEMBRE,0,0,,0,0,0,4,2
10,L19,1,CRUCERO 1,2007-11-12,2007,NOVIEMBRE,0,0,,0,0,0,4,2
10,L19N1,1,CRUCERO 1,2007-11-12,2007,NOVIEMBRE,0,0,,1,1,0,3,2
10,L19N2,1,CRUCERO 1,2007-11-10,2007,NOVIEMBRE,0,0,,1,0,0,0,1
10,L20,1,CRUCERO 1,2007-11-12,2007,NOVIEMBRE,0,0,,0,1,0,3,2
10,L20N1,1,CRUCERO 1,2007-11-12,2007,NOVIEMBRE,0,0,,1,0,0,4,3
10,L21,1,CRUCERO 1,2007-11-14,2007,NOVIEMBRE,0,0,,0,0,0,4,4
10,L22,1,CRUCERO 1,2007-11-11,2007,NOVIEMBRE,0,0,,2,0,0,0,0
10,L22N1,1,CRUCERO 1,2007-11-11,2007,NOVIEMBRE,0,0,,1,1,0,0,1
10,L22N2,1,CRUCERO 1,2007-11-11,2007,NOVIEMBRE,0,0,,0,0,0,0,0
10,L23,1,CRUCERO 1,2007-11-10,2007,NOVIEMBRE,0,0,,0,1,0,3,1
10,L23N1,1,CRUCERO 1,2007-11-10,2007,NOVIEMBRE,0,0,,2,1,0,0,0
10,L23N2,1,CRUCERO 1,2007-11-10,2007,NOVIEMBRE,0,0,,0,1,0,0,0
10,L24,1,CRUCERO 1,2007-11-11,2007,NOVIEMBRE,0,0,,0,0,0,0,0
10,L24N1,1,CRUCERO 1,2007-11-11,2007,NOVIEMBRE,0,0,,2,0,0,1,1
10,L25,1,CRUCERO 1,2007-11-14,2007,NOVIEMBRE,0,0,,0,0,0,4,3
11,A01,1,CRUCERO 1,2007-10-23,2007,OCTUBRE,2,0,,2,1,3,3,3
11,A02,1,CRUCERO 1,2007-10-23,2007,OCTUBRE,2,1,,1,1,2,4,4
11,A03,1,CRUCERO 1,2007-10-21,2007,OCTUBRE,0,0,,2,1,0,2,2
11,A04,1,CRUCERO 1,2007-10-23,2007,OCTUBRE,0,0,,1,1,3,3,4
11,A05,1,CRUCERO 1,2007-10-21,2007,OCTUBRE,2,0,,2,2,3,3,3
11,A05N1,1,CRUCERO 1,2007-10-22,2007,OCTUBRE,2,0,,2,1,2,4,4
11,A06,1,CRUCERO 1,2007-11-02,2007,NOVIEMBRE,0,0,,1,0,0,0,2
11,A07,1,CRUCERO 1,2007-11-02,2007,NOVIEMBRE,0,0,,1,1,1,0,0
11,A08,1,CRUCERO 1,2007-11-02,2007,NOVIEMBRE,1,0,,1,1,0,0,0
11,A09,1,CRUCERO 1,2007-11-02,2007,NOVIEMBRE,2,0,,1,1,1,1,1
11,A10,1,CRUCERO 1,2007-11-02,2007,NOVIEMBRE,1,0,,1,0,0,1,1
11,A11,1,CRUCERO 1,2007-11-03,2007,NOVIEMBRE,1,0,,1,1,2,1,1
11,A12,1,CRUCERO 1,2007-11-03,2007,NOVIEMBRE,0,0,,1,1,2,2,0
11,A13,1,CRUCERO 1,2007-11-03,2007,NOVIEMBRE,2,0,,3,1,3,3,2
11,A14,1,CRUCERO 1,2007-11-03,2007,NOVIEMBRE,0,0,,4,2,2,4,3
11,A15,1,CRUCERO 1,2007-11-03,2007,NOVIEMBRE,0,0,,4,1,3,4,4
11,A16,1,CRUCERO 1,2007-11-03,2007,NOVIEMBRE,0,0,,3,1,3,3,4
11,A17,1,CRUCERO 1,2007-11-03,2007,NOVIEMBRE,0,0,,3,1,3,3,4
11,A18,1,CRUCERO 1,2007-11-01,2007,NOVIEMBRE,2,0,,4,2,3,2,2
11,A19,1,CRUCERO 1,2007-11-05,2007,NOVIEMBRE,1,0,,3,2,5,3,5
11,A20,1,CRUCERO 1,2007-11-05,2007,NOVIEMBRE,1,0,,2,1,4,3,5
11,A21,1,CRUCERO 1,2007-11-05,2007,NOVIEMBRE,0,0,,2,1,3,2,4
11,A22,1,CRUCERO 1,2007-11-05,2007,NOVIEMBRE,1,0,,4,1,4,4,5
11,A23,1,CRUCERO 1,2007-11-05,2007,NOVIEMBRE,1,0,,3,2,2,4,4
11,A24,1,CRUCERO 1,2007-11-09,2007,NOVIEMBRE,0,0,,2,2,0,3,1
11,A25,1,CRUCERO 1,2007-11-08,2007,NOVIEMBRE,2,0,,4,2,1,3,2
11,A26,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,0,0,,1,0,1,4,5
11,A27,1,CRUCERO 1,2007-11-08,2007,NOVIEMBRE,1,0,,2,1,1,3,2
11,A28,1,CRUCERO 1,2007-11-08,2007,NOVIEMBRE,2,0,,1,1,1,3,3
11,A29,1,CRUCERO 1,2007-11-08,2007,NOVIEMBRE,0,0,,1,0,0,3,3
11,A30,1,CRUCERO 1,2007-11-05,2007,NOVIEMBRE,2,0,,4,2,3,4,4
11,A31,1,CRUCERO 1,2007-11-06,2007,NOVIEMBRE,1,0,,3,1,2,3,3
11,A32,1,CRUCERO 1,2007-11-06,2007,NOVIEMBRE,1,0,,3,1,3,4,2
11,A33,1,CRUCERO 1,2007-10-22,2007,OCTUBRE,2,0,,3,3,3,4,4
11,A34,1,CRUCERO 1,2007-10-22,2007,OCTUBRE,2,0,,3,2,2,4,4
11,A35,1,CRUCERO 1,2007-10-31,2007,OCTUBRE,2,0,,3,2,4,4,5
11,A36,1,CRUCERO 1,2007-10-31,2007,OCTUBRE,2,0,,2,1,1,2,2
11,A37,1,CRUCERO 1,2007-10-31,2007,OCTUBRE,1,0,,2,1,0,4,3
11,A38N1,1,CRUCERO 1,2007-10-31,2007,OCTUBRE,2,0,,3,3,2,4,3
11,A39,1,CRUCERO 1,2007-10-30,2007,OCTUBRE,3,0,,3,1,2,4,3
11,A40,1,CRUCERO 1,2007-10-30,2007,OCTUBRE,0,0,,2,1,2,4,3
11,A41,1,CRUCERO 1,2007-10-31,2007,OCTUBRE,1,0,,2,1,3,5,4
11,A42,1,CRUCERO 1,2007-11-09,2007,NOVIEMBRE,2,0,,3,1,0,4,2
11,A43,1,CRUCERO 1,2007-11-06,2007,NOVIEMBRE,0,0,,2,1,2,4,2
11,A44,1,CRUCERO 1,2007-11-06,2007,NOVIEMBRE,1,0,,2,2,2,3,3
11,A45,1,CRUCERO 1,2007-11-09,2007,NOVIEMBRE,0,0,,2,2,1,3,2
11,A46,1,CRUCERO 1,2007-11-09,2007,NOVIEMBRE,1,0,,2,1,1,3,2
11,A47,1,CRUCERO 1,2007-11-06,2007,NOVIEMBRE,1,0,,3,1,0,4,2
11,A48,1,CRUCERO 1,2007-11-06,2007,NOVIEMBRE,2,0,,2,1,2,5,5
11,A49,1,CRUCERO 1,2007-11-06,2007,NOVIEMBRE,1,0,,2,1,0,4,4
11,A50,1,CRUCERO 1,2007-11-08,2007,NOVIEMBRE,3,0,,2,2,1,3,2
11,A51,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,2,0,,2,1,2,3,2
11,A52,1,CRUCERO 1,2007-11-08,2007,NOVIEMBRE,3,0,,2,2,4,3,3
11,A53,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,1,0,,1,1,1,4,4
11,A54,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,0,0,,1,0,0,1,2
11,A55,1,CRUCERO 1,2007-11-16,2007,NOVIEMBRE,0,0,,1,0,0,2,1
11,A56,1,CRUCERO 1,2007-11-16,2007,NOVIEMBRE,2,0,,1,0,1,2,1
11,A57,1,CRUCERO 1,2007-11-16,2007,NOVIEMBRE,3,0,,1,0,1,2,2
11,A58,1,CRUCERO 1,2007-11-16,2007,NOVIEMBRE,0,0,,1,0,0,2,2
11,A59,1,CRUCERO 1,2007-11-16,2007,NOVIEMBRE,0,0,,1,0,1,3,2
11,A60,1,CRUCERO 1,2007-11-16,2007,NOVIEMBRE,0,0,,1,0,1,2,1
12,M04,1,CRUCERO 1,2007-10-25,2007,OCTUBRE,3,0,,2,1,0,1,0
12,M05,1,CRUCERO 1,2007-10-25,2007,OCTUBRE,4,0,,3,0,0,0,0
12,M06,1,CRUCERO 1,2007-10-25,2007,OCTUBRE,2,0,,0,0,0,1,0
12,M01N,1,CRUCERO 1,2007-10-25,2007,OCTUBRE,2,0,,0,0,0,0,0
12,M02N,1,CRUCERO 1,2007-10-25,2007,OCTUBRE,3,0,,1,0,0,2,0
12,M03N,1,CRUCERO 1,2007-10-25,2007,OCTUBRE,4,0,,2,0,0,2,0
12,M07,1,CRUCERO 1,2007-10-25,2007,OCTUBRE,0,0,,1,0,0,2,0
12,M24N,1,CRUCERO 1,2007-10-26,2007,OCTUBRE,0,0,,0,0,0,1,0
12,M08,1,CRUCERO 1,2007-10-24,2007,OCTUBRE,0,0,,0,0,0,3,3
12,M25N,1,CRUCERO 1,2007-10-24,2007,OCTUBRE,1,1,,1,0,0,4,4
12,M09,1,CRUCERO 1,2007-10-24,2007,OCTUBRE,0,0,,0,0,0,4,3
12,M10,1,CRUCERO 1,2007-10-24,2007,OCTUBRE,2,1,,1,0,0,2,2
12,M11,1,CRUCERO 1,2007-10-24,2007,OCTUBRE,2,0,,0,0,0,5,5
12,M12,1,CRUCERO 1,2007-10-26,2007,OCTUBRE,2,0,,1,0,0,4,4
12,M13,1,CRUCERO 1,2007-10-26,2007,OCTUBRE,4,0,,1,0,0,4,4
12,M14,1,CRUCERO 1,2007-10-23,2007,OCTUBRE,4,0,,1,0,0,4,4
12,M15,1,CRUCERO 1,2007-10-23,2007,OCTUBRE,0,0,,0,0,0,3,2
12,M16,1,CRUCERO 1,2007-10-27,2007,OCTUBRE,4,0,,0,0,0,2,2
12,M17,1,CRUCERO 1,2007-10-27,2007,OCTUBRE,4,0,,2,0,0,0,0
12,M18,1,CRUCERO 1,2007-10-27,2007,OCTUBRE,4,0,,1,0,0,0,0
12,M19,1,CRUCERO 1,2007-10-27,2007,OCTUBRE,4,0,,2,0,0,0,2
12,M20,1,CRUCERO 1,2007-10-27,2007,OCTUBRE,4,0,,1,0,0,1,0
12,M21,1,CRUCERO 1,2007-10-27,2007,OCTUBRE,4,0,,1,0,0,0,0
12,M22,1,CRUCERO 1,2007-10-27,2007,OCTUBRE,0,0,,1,0,0,1,0
12,M23,1,CRUCERO 1,2007-10-28,2007,OCTUBRE,0,0,,0,0,0,1,1
12,M24,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,0,0,,0,0,0,0,0
12,M25,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,0,0,,0,0,0,0,0
12,M26,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,0,0,,0,0,0,0,0
12,M27,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,0,0,,0,0,0,2,1
12,M28,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,0,0,,0,0,0,2,1
12,M29,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,0,0,,0,0,0,0,0
12,M30,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,0,0,,0,0,0,1,0
12,M31,1,CRUCERO 1,2007-11-07,2007,NOVIEMBRE,0,0,,0,0,0,0,0
12,M32,1,CRUCERO 1,2007-11-08,2007,NOVIEMBRE,0,0,,0,0,0,2,2
12,M33,1,CRUCERO 1,2007-11-08,2007,NOVIEMBRE,0,0,,0,0,0,0,0
12,M34,1,CRUCERO 1,2007-11-08,2007,NOVIEMBRE,0,0,,0,0,0,0,0
12,M35,1,CRUCERO 1,2007-11-08,2007,NOVIEMBRE,0,0,,0,0,0,0,0
12,M36,1,CRUCERO 1,2007-11-12,2007,NOVIEMBRE,0,0,,0,0,0,2,2
12,M37,1,CRUCERO 1,2007-11-12,2007,NOVIEMBRE,0,0,,0,0,0,2,1
12,M38,1,CRUCERO 1,2007-11-13,2007,NOVIEMBRE,0,0,,0,0,0,2,0
